Index,Station code,Station name,اسم المحطة,Metro line number,Metro line name,اسم مسار القطار,Station type code,Station type,نوع المحطة,Sequence of the stops,Comments,التعليقات,Geographical coordinates,geo_point_2d
70,S70,King Abdulaziz Hospital,مستشفى الملك عبدالعزيز,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,74,,,"{""coordinates"": [46.71727365226771, 24.65904589369298], ""type"": ""Point""}","24.65904589369298, 46.71727365226771"
66,S71,Ministry of Defense,وزارة الدفاع,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,75,"Modification on the 26.03.2025, the English name of the station has been changed from ""MODA"" to ""Ministry of Defence"".","تعديل في 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ”""MODA"" إلى ”Ministry of Defence“.","{""coordinates"": [46.71825678997175, 24.66712507970303], ""type"": ""Point""}","24.66712507970303, 46.71825678997175"
22,S72,Al Wizarat,الوزارات,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,76,,,"{""coordinates"": [46.71835817336265, 24.67721661325981], ""type"": ""Point""}","24.67721661325981, 46.71835817336265"
1,S75,Abu Dhabi square,ميدان أبو ظبي,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,79,,,"{""coordinates"": [46.71634234922706, 24.70611607029804], ""type"": ""Point""}","24.70611607029804, 46.71634234922706"
3,S76,Ad Dhabab,الضباب,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,80,,,"{""coordinates"": [46.70835711021662, 24.70915859869369], ""type"": ""Point""}","24.70915859869369, 46.70835711021662"
34,S77,As Sulimaniyah,السليمانية,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,81,,,"{""coordinates"": [46.69954390840239, 24.7130431910079], ""type"": ""Point""}","24.7130431910079, 46.69954390840239"
64,S32,Ministry of Education,وزاره التعليم,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,83,,,"{""coordinates"": [46.69359791097942, 24.73977015479611], ""type"": ""Point""}","24.73977015479611, 46.69359791097942"
10,S36,Al Hamra,الحمراء,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,90,,,"{""coordinates"": [46.77657649147416, 24.77632719132187], ""type"": ""Point""}","24.77632719132187, 46.77657649147416"
81,S01,SAB,الأول,Line1,Blue line,المسار الأزرق,1,Elevated,مرتفع,1,,,"{""coordinates"": [46.61843964843821, 24.82943980747947], ""type"": ""Point""}","24.82943980747947, 46.61843964843821"
57,S06,King Fahad District 2,حي الملك فهد 2,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,6,,,"{""coordinates"": [46.66338701990518, 24.73665171554253], ""type"": ""Point""}","24.73665171554253, 46.66338701990518"
36,S11,Bank Albilad,بنك البلاد,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,11,,,"{""coordinates"": [46.68392634195393, 24.69650761170015], ""type"": ""Point""}","24.69650761170015, 46.68392634195393"
68,S16,National Museum,المتحف الوطني,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,16,,,"{""coordinates"": [46.71416493164232, 24.64606261233078], ""type"": ""Point""}","24.64606261233078, 46.71416493164232"
77,S18,Qasr Al Hokm,قصر الحكم,Line1,Blue line,المسار الأزرق,4,Deep Underground,تحت الأرض على عمق كبير,18,,,"{""coordinates"": [46.71611888836972, 24.62858166288806], ""type"": ""Point""}","24.62858166288806, 46.71611888836972"
62,S21,Manfouhah,منفوحة,Line1,Blue line,المسار الأزرق,1,Elevated,مرتفع,21,,,"{""coordinates"": [46.72751741880297, 24.61045736735081], ""type"": ""Point""}","24.61045736735081, 46.72751741880297"
55,S31,King Abdulaziz Road,طريق الملك عبدالعزيز,Line2,Red line,المسار الأحمر,3,Shallow Underground,تحت الأرض على عمق ضحل,32,,,"{""coordinates"": [46.68521931745428, 24.73623884393125], ""type"": ""Point""}","24.73623884393125, 46.68521931745428"
